Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Spa_by_JW,Tarek M,5.0 of 5 bubbles,Oct 2022 • Business,Amazing Experience,"Spectacular experience starting from the very friendly staff specially Benita, Tanvi and Soso and Definitely My Therapist Chon , really professional and i'd like to repeat it again and again"
Spa_by_JW,Faisal rashed,5.0 of 5 bubbles,Oct 2022 • Business,V good and relaxing,The experience was really nice starting from the reception binita then to the therapist soso which made me feel relaxed at the end a must try
Spa_by_JW,lily k,5.0 of 5 bubbles,Oct 2022 • Family,Spa,Fantastic service by spa by jw staff specially Ms. Binita she did great job thank you binita and tanvi you gyes are amazing
Spa_by_JW,Omar,5.0 of 5 bubbles,Oct 2022 • Family,Too good staff,Spa is super clean sharvin gave very good experience in steam sauna explained how to use. tanvi manager gave multiple options to choose massage best spa ms binta gave us nice welcome drink with good smile apem gave good massage will be back soon
Spa_by_JW,Karina,5.0 of 5 bubbles,Oct 2022 • Friends,Excellent,I’m staying last 2 day’s in here I’m very much happy to staying here and swimming pool side also very nice people name of jitesh and tanvi are helpful for me and after pool you possible taking steam and jacuzzi free guy’s came try here stay happy
Spa_by_JW,Shahid,5.0 of 5 bubbles,Oct 2022 • Couples,blessed with spa and pool,Had plasant stay.all thanks to tanvi from spa.she gas knack of guest service.she i very dedicated to work.tge spa is super clean and gyginic pool is very huge jitesh guided us for pool.eliel gave us best massage
Spa_by_JW,Bilal,5.0 of 5 bubbles,Oct 2022 • Family,One of the best spa,One of the best spa I have ever seen.all the staff is very professional Tanvi made our experience much more better by explaining about service.we have utilities steam sauna and jacuzzi which we liked and enjoyed alot
Spa_by_JW,Muddassir,5.0 of 5 bubbles,Oct 2022 • Friends,Very nice to stay here,"Nice spa, we enjoying in jacuzii and steam bath head massage is very nice. And steam attend jitesh and tanvi mam is very cooperating"
Spa_by_JW,sunny m,5.0 of 5 bubbles,Oct 2022 • Solo,Great day spend at Jw Spa.,Beautiful and luxurious spa and pool with great staff. Such a huge space with amazing steam and jacuzzi. I would specially like to recommend everyone to visit and experience the hospitality by Mr. Jitesh at spa and pool. All the best to the team I shall visit again.
Spa_by_JW,Nawaz,5.0 of 5 bubbles,Oct 2022 • Friends,Wonderful experience in gym,All good all time favorite 😍 And specially gym and special mention to gym trainer Vipin Bansal who provide good training and best hospitality
Spa_by_JW,Roschen,5.0 of 5 bubbles,Oct 2022 • Family,Spa,Very good facility with high quality modern equipments. Staff are friendly and helpful. Personal Trainer Mr. Sherwin is a very nice guy with sound knowledge and excellent behaviour. 5 star for Sherwin.
Spa_by_JW,Kaif,5.0 of 5 bubbles,Oct 2022 • Family,Memorable moments,"Excellent service, exceptional hospitality by Jitesh at Pool side . Nothing can be expected much better than the level of fantastic service provided by Jitesh . I used the pool , steam, sauna , Jacuzzi, all to the top level of satisfaction."
Spa_by_JW,Vijay Tjietaman,5.0 of 5 bubbles,Oct 2022 • Solo,Outstanding service and spa,nice staff. I was well guided by Jitesh he is from the pool and sauna. good service. Beautiful spa. .
Spa_by_JW,Kassem,5.0 of 5 bubbles,Oct 2022 • Business,Awesome experience at the gym (vipin),Was brilliant experience & the stuff was so professional & friendly especially Vipin from JW MARRIOT Gym.. wonderful experience.
Spa_by_JW,SPatelusa,5.0 of 5 bubbles,Sep 2022 • Friends,Wonderful # 1,Vipin Bansal is a Great TrainerHe is wonderful human being nAlways take extra care ofCleanses Stay with Guest for full ExerciseGuide for Right way of ExerciseAkways Greeting n staying with guest for fullExerciseWe come to JWM for Vipin Bansal loyalty
Spa_by_JW,Vinaya J,5.0 of 5 bubbles,Aug 2022 • Solo,90 min massage with Soso,"Dear SPatelusa,

Greetings from Spa By JW at the JW Marriott Hotel Mumbai Sahar !

We thank you for your positive and wonderful comment about Vipin . We are glad that you have thoroughly enjoyed your experience.

Thank you for using our facilities !

Look forward to welcoming you again !

Warm Regards
Vinaya Jadhav
Director Of Spa
"
Spa_by_JW,Maria P,5.0 of 5 bubbles,Aug 2022 • Business,Best massage,"Dear SPatelusa,

Greetings from Spa By JW at the JW Marriott Hotel Mumbai Sahar !

We thank you for your positive and wonderful comment about Vipin . We are glad that you have thoroughly enjoyed your experience.

Thank you for using our facilities !

Look forward to welcoming you again !

Warm Regards
Vinaya Jadhav
Director Of Spa
"
Spa_by_JW,Vinaya J,5.0 of 5 bubbles,Jul 2022 • Family,Gym Training,Soso was the best masseuse I could ask for! I booked the 90 min massage and everything was exceptional from start to finish. I can’t recommend Soso enough as well as the rest lovely staff.
Spa_by_JW,Paulnxclark,5.0 of 5 bubbles,Jul 2022 • Couples,Highly recommend,"Dear MariaP15846,

Greetings from Spa By JW at the JW Marriott Hotel Mumbai Sahar !

We thank you for your positive and wonderful comment about Soso. We are glad that you have thoroughly enjoyed your experience. I shall convey your comments with Soso.

Thank you for using our Spa facilities.

Look forward to welcoming you again !

Warm Regards
Vinaya Jadhav
Director Of Spa
"
